 [  8. 166.]
 [  8. 166.]
 [  8. 166.]
 [  8. 166.]
 [  8. 167.]
 [  8. 167.]
 [  8. 167.]
 [  8. 167.]
 [  8. 168.]
 [  8. 168.]
 [  8. 168.]
 [  8. 168.]
 [  8. 168.]
 [  7. 168.]
 [  7. 169.]
 [  7. 169.]
 [  7. 168.]
 [  7. 168.]
 [  6. 166.]
 [  6. 163.]
 [  6. 159.]
 [  6. 156.]
 [  6. 152.]
 [  6. 149.]
 [  6. 144.]
 [  7. 136.]
 [  7. 129.]
 [  7. 120.]
 [  8. 109.]
 [  8.  96.]
 [  8.  84.]
 [  8.  76.]
 [  8.  66.]
 [  8.  60.]
 [  8.  55.]
 [  8.  51.]
 [  7.  46.]
 [  7.  44.]
 [  7.  44.]
 [  7.  43.]
 [  7.  41.]
 [  6.  40.]
 [  6.  39.]
 [  6.  38.]
 [  6.  38.]
 [  6.  38.]
 [  6.  37.]
 [  5.  38.]
 [  5.  37.]
 [  5.  37.]
 [  5.  37.]
 [  5.  37.]
 [  5.  37.]
 [  5.  37.]
 [  5.  38.]
 [  6.  40.]
 [  6.  42.]
 [  7.  47.]
 [  7.  51.]
 [  7.  55.]
 [  7.  60.]
 [  7.  68.]
 [  8.  75.]
 [  8.  82.]
 [  8.  90.]
 [  8. 102.]
 [  8. 110.]
 [  8. 116.]
 [  8. 121.]
 [  8. 126.]
 [  8. 129.]
 [  8. 133.]
 [  8. 136.]
 [  8. 140.]
 [  8. 144.]
 [  8. 146.]
 [  8. 148.]
 [  8. 150.]
 [  8. 152.]
 [  8. 153.]
 [  8. 154.]
 [  8. 156.]
 [  8. 159.]
 [  8. 160.]
 [  8. 162.]
 [  8. 163.]
 [  8. 165.]
 [  8. 166.]
 [  7. 168.]
 [  7. 169.]
 [  7. 170.]
 [  7. 170.]
 [  7. 171.]
 [  7. 171.]
 [  7. 172.]
 [  7. 172.]
 [  7. 173.]
 [  7. 173.]
 [  7. 174.]
 [  7. 174.]
 [  7. 174.]
 [  7. 175.]
 [  7. 175.]
 [  7. 175.]
 [  7. 175.]
 [  7. 174.]
 [  7. 174.]
 [  7. 172.]
 [  8. 171.]
 [  8. 169.]
 [  8. 168.]
 [  7. 167.]
 [  7. 165.]
 [  7. 162.]
 [  8. 159.]
 [  7. 156.]
 [  8. 152.]
 [  8. 146.]
 [  9. 141.]
 [  9. 133.]
 [  9. 126.]
 [  9. 115.]
 [  9. 106.]
 [  9.  96.]
 [  9.  83.]
 [  9.  73.]
 [ 10.  61.]
 [  9.  55.]
 [  9.  50.]
 [  8.  47.]
 [  8.  46.]
 [  8.  44.]
 [  8.  43.]
 [  7.  41.]
 [  7.  40.]
 [  6.  38.]]
