,rep,shoulder_angle,elbow_angle,error_1,error_2
0,0,5.359190236625762,173.68872499208518,False,False
1,0,5.356970321523127,173.41833388183272,False,False
2,0,5.238953942572443,173.04624058922056,False,False
3,0,5.045542866142935,172.23025222176636,False,False
4,0,4.9044773394927565,170.42300823420348,False,False
5,0,4.622501130700705,167.75910375910365,False,False
6,0,4.104702378632278,164.79254192630654,False,False
7,0,3.7274093351426485,160.90583477508457,False,False
8,0,3.145695240300443,157.78135891613394,False,False
9,0,2.567375328028016,153.44869487050823,False,False
10,0,1.7066852704073412,148.07022735762743,False,False
11,0,1.2550193958072668,139.3072452779375,False,False
12,0,0.7642451300496446,131.25939227452722,False,False
13,0,0.6709816773210985,121.07744949149257,False,False
14,0,1.6080009151970085,112.37781470081798,False,False
15,0,2.695663327671861,96.83850444732538,False,False
16,0,5.248163022628316,87.97017462529502,False,False
17,0,6.629268308286662,79.71686806555121,False,False
18,0,6.866632831594756,74.20470703925388,False,False
19,0,8.597828064879803,66.50397310253562,False,False
20,0,10.126942266812152,58.81039900561332,False,False
21,0,11.047887353187026,52.37563957075353,False,False
22,0,12.469403414988196,49.549606519333075,False,False
23,0,14.796300360204594,45.665274339075204,False,False
24,0,16.790059368594182,42.855259522613984,False,False
25,0,18.708181721819358,42.74527655088898,False,False
26,0,20.26880565264998,41.47651838256495,True,False
27,0,21.27884880355037,40.78592997984487,True,False
28,0,21.91714322515514,39.28102901501721,True,False
29,0,21.88463306029109,37.97175285320516,True,False
30,0,21.961536541186252,37.271403672788146,True,False
31,0,21.916346550039698,36.891539985275514,True,False
32,0,21.6610942737214,36.381721419013346,True,False
33,0,21.710499408792785,35.850344263969255,True,False
34,0,21.519584600362435,35.13364995128131,True,False
35,0,21.38872671946029,34.74021944882015,True,False
36,0,21.559460772125178,34.51628188511995,True,False
37,0,21.46640610765437,34.02804206149435,True,False
38,0,21.24169217270138,33.59677727683318,True,False
39,0,21.087577250281942,33.399908094349094,True,False
40,0,21.000748323365464,33.37870466732621,True,False
41,0,20.7337786225369,33.47412210221391,True,False
42,0,20.55935154136651,33.66209700523504,True,False
43,0,20.174144368445877,33.82277132217005,True,False
44,0,19.298922949328738,34.63513041743277,False,False
45,0,18.705923858691655,35.458680076275854,False,False
46,0,18.12615868901364,36.41846634631409,False,False
47,0,17.480074958143046,38.11307092754942,False,False
48,0,17.311430443361736,40.037797387363554,False,False
49,0,16.902071371890493,42.58193176067007,False,False
50,0,15.118895757494627,45.56241421077995,False,False
51,0,14.274732657884186,48.49503352886368,False,False
52,0,13.262025175874655,50.97661999995554,False,False
53,0,12.102016275553874,54.84315457873173,False,False
54,0,12.52417772349179,60.68813560694904,False,False
55,0,12.56354384636356,63.910938945698966,False,False
56,0,11.862403580534927,69.89606754245072,False,False
57,0,11.513280085131543,75.88982814887497,False,False
58,0,10.952503809228787,82.1406172185225,False,False
59,0,10.45534114435535,87.77770485867222,False,False
60,0,9.603071441630355,92.74428790431877,False,False
61,0,7.984786149759807,101.51846656282846,False,False
62,0,6.962129522483554,109.99157851900324,False,False
63,0,6.343437678229969,118.38007118156355,False,False
64,0,5.354305394369491,125.34804767685213,False,False
65,0,4.274721938326496,130.4579684161002,False,False
66,0,2.7991137893719635,135.52836233294016,False,False
67,0,0.8109841263085013,139.34517934481613,False,False
68,0,0.525494974332202,143.17952739515857,False,False
69,0,0.4969792162305271,145.26625118497626,False,False
70,0,1.0531100316682416,149.8492973001351,False,False
71,0,1.7960054561329086,152.2028867232818,False,False
72,0,2.4278043289922584,154.0220350879559,False,False
73,0,3.5857601536728083,155.14406472153777,False,False
74,0,4.723691809571506,157.42314336683341,False,False
75,0,5.310548324671293,158.89037957181915,False,False
76,0,6.145844441104937,160.83632411701606,False,False
77,0,6.530189243316031,162.52267423742848,False,False
78,0,6.62266668698886,163.90712638026335,False,False
79,0,7.159547222215562,165.35186788227801,False,False
80,0,7.460776652556894,166.8618096921742,False,False
81,0,7.570975494875455,167.62362120921054,False,False
82,0,7.653171953178959,168.33435871426425,False,False
83,0,7.82469631153139,168.46029072401433,False,False
84,0,7.976870187587069,168.63051141269437,False,False
85,0,7.946268505619562,169.0690758529454,False,False
86,0,7.9594207870390425,169.1145129399855,False,False
87,0,7.974772058678335,168.99934207441024,False,False
88,0,7.692023819052131,169.24727689190627,False,False
89,0,7.220933468722093,169.98846415991719,False,False
90,0,6.677199120125745,170.93056905793864,False,False
91,0,6.368637792080838,171.0033660842529,False,False
92,0,5.97181129727648,169.90385681148862,False,False
93,0,5.720780749403585,168.61951980851234,False,False
94,0,5.429892427229418,167.71197868669066,False,False
95,0,5.079993016879509,165.4080041876266,False,False
96,1,4.419849187547456,161.0955702429094,False,False
97,1,3.732556657400197,157.6689865180869,False,False
98,1,3.2572048098141835,152.99011261191606,False,False
99,1,2.961024759455185,147.6218200400038,False,False
100,1,2.5921643164707238,138.35469570118192,False,False
101,1,1.8353507573694283,129.87219139751943,False,False
102,1,0.7868390880571767,121.63951696750294,False,False
103,1,0.3295568777714198,113.20405852913508,False,False
104,1,0.7956973470939164,100.86379586938988,False,False
105,1,1.9705553693087692,89.3576637842153,False,False
106,1,4.226674472793201,83.06535336579712,False,False
107,1,5.686121107778293,75.06100066715916,False,False
108,1,6.78490422457908,68.27599034016283,False,False
